DeltariSeglingCtr,DeltariRegistrerandeKrets,DeltariFNDeltagare,DeltariFNSegling,DeltariSkipperGastqq,DeltariFNSkipperGast
3000,"Stockholm",867,2012,,2
3001,"Stockholm",656,2013,,2
3002,"Stockholm",244,2014,,2
3003,"Stockholm",160,2015,,2
3004,"Stockholm",1114,2016,,2
3005,"Stockholm",987,2017,,2
3006,"Stockholm",977,2018,,2
3007,"Stockholm",608,2019,,2
3008,"Stockholm",591,2020,,2
3009,"Stockholm",806,2021,,2
3010,"Stockholm",1010,2022,,2
3011,"Stockholm",110,2023,,2
3012,"Stockholm",1062,2017,,1
3013,"Stockholm",1119,2017,,1
3014,"Stockholm",1032,2022,,1
3015,"Stockholm",1126,2012,,1
3016,"Stockholm",566,2012,,1
3018,"Stockholm",1100,1984,,1
3019,"Stockholm",1120,1998,,1
3020,"Stockholm",1121,1998,,1
3021,"Stockholm",1125,1998,,1
3022,"Stockholm",614,1997,,1
3023,"Stockholm",1123,1983,,1
3024,"Stockholm",1105,2002,,1
3025,"Stockholm",1041,2002,,1
3026,"Stockholm",1122,2002,,1
3027,"Stockholm",762,2014,,1
3028,"Stockholm",1090,2001,,1
3029,"Stockholm",556,2001,,1
3030,"Stockholm",986,2004,,1
3031,"Stockholm",1124,2004,,1
3032,"Stockholm",764,2007,,1
3033,"Stockholm",179,2007,,1
3034,"Stockholm",817,2007,,1
3035,"Stockholm",747,2009,,1
3036,"Stockholm",30,2024,,2
3037,"Stockholm",35,2025,,2
3038,"Stockholm",76,2023,,1
3039,"Stockholm",726,2024,,1
3040,"Stockholm",1117,2026,,2
3041,"Stockholm",29,2027,,2
3042,"Stockholm",135,2028,,2
3043,"Stockholm",136,2028,,1
3044,"Stockholm",21,2028,,1
3045,"Stockholm",1127,2029,,2
3046,"Stockholm",900,2020,,1
3047,"Stockholm",964,2011,,1
3048,"Stockholm",1131,2025,,1
3049,"Stockholm",1028,2003,,1
3050,"Stockholm",1088,2003,,1
3051,"Stockholm",1132,2003,,1
3052,"Stockholm",1128,1983,,1
3053,"Stockholm",1129,1983,,1
3054,"Stockholm",1130,1983,,1
3055,"Stockholm",668,2030,,2
3056,"Stockholm",1133,2016,,1
3057,"Stockholm",1134,2016,,1
3058,"Stockholm",1136,2016,,1
3059,"Stockholm",1068,2013,,1
3060,"Stockholm",1135,1994,,1
3061,"Stockholm",1137,1994,,1
3062,"Stockholm",1139,2014,,1
3063,"Stockholm",654,2004,,1
3064,"Stockholm",1138,2019,,1
3065,"Stockholm",1140,2019,,1
3066,"Stockholm",1140,2021,,1
3067,"Stockholm",1138,2021,,1
3068,"Stockholm",1081,2031,,2
3069,"Stockholm",920,2032,,2
3070,"Stockholm",1004,2033,,2
3071,"Stockholm",1142,2034,,2
3072,"Stockholm",588,2035,,2
3073,"Stockholm",1079,2036,,2
3074,"Stockholm",1144,2037,,2
3076,"Stockholm",56,2039,,2
3077,"Stockholm",7,2040,,2
3078,"Stockholm",69,2041,,2
3080,"Stockholm",1012,2042,,2
3081,"Stockholm",57,2043,,2
3082,"Stockholm",95,2044,,2
3083,"Stockholm",889,2045,,2
3084,"Stockholm",54,2046,,2
3085,"Stockholm",663,2047,,2
3086,"Stockholm",135,2048,,2
3087,"Stockholm",1143,2049,,2
3088,"Stockholm",849,2050,,2
3089,"Stockholm",164,2051,,2
3090,"Stockholm",1145,2052,,2
3091,"Stockholm",654,2053,,2
