SeglingFNStart,SeglingStartDag,SeglingStartTid,SeglingPeriod,StartDagCtr,StartVeckodag,StartDag,StartAr,StartVH,StartFNTid,UrvalStartTid,TmpRegatta,TmpOrganizer,TmpRace,TmpRegattaName
99,06/06/09 00:00:00,12:00-12:30,24,99,Lör,06/06/09 00:00:00,2009,V,2,12:00-12:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
104,08/15/09 00:00:00,07:00-07:30,12,104,Lör,08/15/09 00:00:00,2009,H,3,07:00-07:30,Sthlm-2009S,Svenska Kryssarklubbens Stockholmskrets,Specialseglingen,Specialseglingen 2009 i Stockholm
105,09/05/09 00:00:00,07:00-07:30,12,105,Lör,09/05/09 00:00:00,2009,H,3,07:00-07:30,Sthlm-2009H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2009 i Stockholm
106,09/05/09 00:00:00,12:00-12:30,24,106,Lör,09/05/09 00:00:00,2009,H,2,12:00-12:30,Sthlm-2009H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2009 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
36,08/26/05 00:00:00,12:00-20:00,48,36,Fre,08/26/05 00:00:00,2005,H,1,12:00-20:00,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
39,08/23/05 00:00:00,12:00-20:00,120,39,Tis,08/23/05 00:00:00,2005,H,1,12:00-20:00,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
36,08/26/05 00:00:00,12:00-20:00,48,36,Fre,08/26/05 00:00:00,2005,H,1,12:00-20:00,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
35,08/27/05 00:00:00,07:00-07:30,12,35,Lör,08/27/05 00:00:00,2005,H,3,07:00-07:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
35,08/27/05 00:00:00,07:00-07:30,12,35,Lör,08/27/05 00:00:00,2005,H,3,07:00-07:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
40,09/02/05 00:00:00,12:00-20:00,24,40,Fre,09/02/05 00:00:00,2005,H,1,12:00-20:00,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
44,05/25/06 00:00:00,12:00-20:00,72,44,Tors,05/25/06 00:00:00,2006,V,1,12:00-20:00,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
41,05/27/06 00:00:00,12:00-12:30,24,41,Lör,05/27/06 00:00:00,2006,V,2,12:00-12:30,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
43,05/26/06 00:00:00,12:00-20:00,48,43,Fre,05/26/06 00:00:00,2006,V,1,12:00-20:00,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
41,05/27/06 00:00:00,12:00-12:30,24,41,Lör,05/27/06 00:00:00,2006,V,2,12:00-12:30,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
112,06/05/10 00:00:00,12:00-12:30,24,112,Lör,06/05/10 00:00:00,2010,V,2,12:00-12:30,Sthlm-2010V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2010 i Stockholm
41,05/27/06 00:00:00,12:00-12:30,24,41,Lör,05/27/06 00:00:00,2006,V,2,12:00-12:30,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
41,05/27/06 00:00:00,12:00-12:30,12,41,Lör,05/27/06 00:00:00,2006,V,2,12:00-12:30,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
41,05/27/06 00:00:00,12:00-12:30,24,41,Lör,05/27/06 00:00:00,2006,V,2,12:00-12:30,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
44,05/25/06 00:00:00,12:00-20:00,72,44,Tors,05/25/06 00:00:00,2006,V,1,12:00-20:00,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
41,05/27/06 00:00:00,12:00-12:30,24,41,Lör,05/27/06 00:00:00,2006,V,2,12:00-12:30,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
112,06/05/10 00:00:00,12:00-12:30,24,112,Lör,06/05/10 00:00:00,2010,V,2,12:00-12:30,Sthlm-2010V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2010 i Stockholm
114,06/04/10 00:00:00,12:00-20:00,48,114,Fre,06/04/10 00:00:00,2010,V,1,12:00-20:00,Sthlm-2010V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2010 i Stockholm
41,05/27/06 00:00:00,12:00-12:30,24,41,Lör,05/27/06 00:00:00,2006,V,2,12:00-12:30,Sthlm-2006V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2006 i Stockholm
